n_fila,oficio,identificador,titulo,emisor,receptor,fecha,url_documento,clave_unica
149,002522,2023-99-53-149,Oficio pronunciamiento con observaciones al EIA,Ilustre Municipalidad de Los Vilos,Servicio de Evaluación Ambiental Dirección Ejecutiva,18/12/2023 10:48:40,https://seia.sea.gob.cl/archivos/2023/12/18/b12_OF_2522_MUNI_DE_LOS_VILOS.pdf,2023-99-53-149|https://seia.sea.gob.cl/archivos/2023/12/18/b12_OF_2522_MUNI_DE_LOS_VILOS.pdf
150,2023991064584,2023-99-53-150,Acta de terreno,Servicio de Evaluación Ambiental Dirección Ejecutiva,17 destinatarios,18/12/2023 11:33:16,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160506769,2023-99-53-150|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160506769
151,145,2023-99-53-151,Oficio no participación en la evaluación,"SEREMI de Agricultura, Región de Atacama",Servicio de Evaluación Ambiental Dirección Ejecutiva,18/12/2023 13:26:56,https://seia.sea.gob.cl/archivos/2023/12/18/4ad_ORD._145_SEREMI_AGRICULTURA.pdf,2023-99-53-151|https://seia.sea.gob.cl/archivos/2023/12/18/4ad_ORD._145_SEREMI_AGRICULTURA.pdf
152,2657,2023-99-53-152,Oficio pronunciamiento Municipalidad,Ilustre Municipalidad de La Serena,Servicio de Evaluación Ambiental Dirección Ejecutiva,18/12/2023 14:51:46,https://seia.sea.gob.cl/archivos/2023/12/18/227_OF_2657_MUNI_DE_LA_SERENA.pdf,2023-99-53-152|https://seia.sea.gob.cl/archivos/2023/12/18/227_OF_2657_MUNI_DE_LA_SERENA.pdf
153,945,2023-99-53-153,Oficio pronunciamiento con observaciones al EIA,Ilustre Municipalidad de Vicuńa,Servicio de Evaluación Ambiental Dirección Ejecutiva,18/12/2023 15:22:37,https://seia.sea.gob.cl/archivos/2023/12/18/ORD.945_M._VICUNA.pdf,2023-99-53-153|https://seia.sea.gob.cl/archivos/2023/12/18/ORD.945_M._VICUNA.pdf
154,178,2023-99-53-154,Oficio no participación en la evaluación,"SEREMI de Agricultura, Región de Coquimbo",Servicio de Evaluación Ambiental Dirección Ejecutiva,18/12/2023 15:37:55,https://seia.sea.gob.cl/archivos/2023/12/18/47f_ORD_178_SEREMI_DE_AGRICULTURA_COQUIMBO.pdf,2023-99-53-154|https://seia.sea.gob.cl/archivos/2023/12/18/47f_ORD_178_SEREMI_DE_AGRICULTURA_COQUIMBO.pdf
155,17902/2023,2023-99-53-155,Oficio no participación en la evaluación,"SEREMI de Salud, Región de Atacama",Servicio de Evaluación Ambiental Dirección Ejecutiva,18/12/2023 16:40:59,https://seia.sea.gob.cl/archivos/2023/12/18/ID_202303303404_ORD_17902_SEREMI_SALUD_ATACAMA_SE_PRONUNCIA_SOBRE_PROYECTO_LINEA_DE_TRANSMISION_ELECTRICA_HVDC_KIMAL_-_LO_AGUIRRE.pdf,2023-99-53-155|https://seia.sea.gob.cl/archivos/2023/12/18/ID_202303303404_ORD_17902_SEREMI_SALUD_ATACAMA_SE_PRONUNCIA_SOBRE_PROYECTO_LINEA_DE_TRANSMISION_ELECTRICA_HVDC_KIMAL_-_LO_AGUIRRE.pdf
156,410,2023-99-53-156,Visación de acta de terreno,"SEREMI de Agricultura, Región Metropolitana de Santiago",Servicio de Evaluación Ambiental Dirección Ejecutiva,18/12/2023 16:41:20,https://seia.sea.gob.cl/archivos/2023/12/20/ID_202399303847_ORD_410_SEREMI_DE_AGRICULTURA_R.M.pdf,2023-99-53-156|https://seia.sea.gob.cl/archivos/2023/12/20/ID_202399303847_ORD_410_SEREMI_DE_AGRICULTURA_R.M.pdf
157,995,2023-99-53-157,Visación de acta de terreno,"SEREMI Medio Ambiente, Región Metropolitana de Santiago",Servicio de Evaluación Ambiental Dirección Ejecutiva,19/12/2023 12:38:58,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160850575,2023-99-53-157|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160850575
158,762,2023-99-53-158,Oficio pronunciamiento con observaciones al EIA,"SEREMI de Desarrollo Social y Familia, Región de Coquimbo",Servicio de Evaluación Ambiental Dirección Ejecutiva,19/12/2023 12:47:37,https://seia.sea.gob.cl/archivos/2023/12/20/ID_202399303848_ORD_762_SEREMI_DESARROLLO_SOCIAL_Y_FAMILIA_REGION_DE_COQUIMBO_SE_PRONUNCIA_SOBRE_PROYECTO_KIMAL_LO_AGUIRRE.pdf,2023-99-53-158|https://seia.sea.gob.cl/archivos/2023/12/20/ID_202399303848_ORD_762_SEREMI_DESARROLLO_SOCIAL_Y_FAMILIA_REGION_DE_COQUIMBO_SE_PRONUNCIA_SOBRE_PROYECTO_KIMAL_LO_AGUIRRE.pdf
159,0888,2023-99-53-159,Oficio pronunciamiento con observaciones al EIA,"SEREMI de Desarrollo Social y Familia, Región Metropolitana de Santiago",Servicio de Evaluación Ambiental Dirección Ejecutiva,19/12/2023 13:01:03,https://seia.sea.gob.cl/archivos/2023/12/20/ID_2023133031568_ORD_0888_SERTEMI_DESARROLLO_SOCIAL_Y_FAMILIA_R.M._SE_PRONUNCIA_SOBRE_PROYECTO_KIMAL_LO_AGUIRRE.pdf,2023-99-53-159|https://seia.sea.gob.cl/archivos/2023/12/20/ID_2023133031568_ORD_0888_SERTEMI_DESARROLLO_SOCIAL_Y_FAMILIA_R.M._SE_PRONUNCIA_SOBRE_PROYECTO_KIMAL_LO_AGUIRRE.pdf
160,015/2023,2023-99-53-160,Oficio pronunciamiento con observaciones al EIA,SEREMI MOP Región Metropolitana de Santiago,Servicio de Evaluación Ambiental Dirección Ejecutiva,19/12/2023 15:41:34,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160851178,2023-99-53-160|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160851178
161,269,2023-99-53-161,Oficio no participación en la evaluación,"SEREMI Medio Ambiente, Región de Coquimbo",Servicio de Evaluación Ambiental Dirección Ejecutiva,19/12/2023 16:48:00,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160857664,2023-99-53-161|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160857664
162,457,2023-99-53-162,Visación de acta de terreno,"SEREMI de Agricultura, Región de Valparaíso",Servicio de Evaluación Ambiental Dirección Ejecutiva,19/12/2023 16:52:32,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160856947,2023-99-53-162|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160856947
163,930/2023,2023-99-53-163,Oficio pronunciamiento Municipalidad,Ilustre Municipalidad de Sierra Gorda,Servicio de Evaluación Ambiental Dirección Ejecutiva,19/12/2023 18:08:49,https://seia.sea.gob.cl/archivos/2023/12/20/ID_202302303583_OF_930_MUNICIPALIDAD_DE_SIERRA_GORDA_SE_PRONUNCIA_SOBRE_PROYECTO_LINEA_DE_TRANSMISION_ELECTRICA_HVDC_KIMAL_-_LO_AGUIRRE.pdf,2023-99-53-163|https://seia.sea.gob.cl/archivos/2023/12/20/ID_202302303583_OF_930_MUNICIPALIDAD_DE_SIERRA_GORDA_SE_PRONUNCIA_SOBRE_PROYECTO_LINEA_DE_TRANSMISION_ELECTRICA_HVDC_KIMAL_-_LO_AGUIRRE.pdf
164,1760,2023-99-53-164,Oficio pronunciamiento conforme sobre EIA,"SEREMI de Vivienda y Urbanismo, Región de Coquimbo",Servicio de Evaluación Ambiental Dirección Ejecutiva,19/12/2023 18:09:14,https://seia.sea.gob.cl/archivos/2023/12/20/ID_202399303850_ORD_1760_MINVU_REGION_DE_COQUIMBO_SE_PRONUNCIA_SOBRE_PROYECTO_LINEA_DE_TRANSMISION_ELECTRICA_HVDC_KIMAL_-_LO_AGUIRRE.pdf,2023-99-53-164|https://seia.sea.gob.cl/archivos/2023/12/20/ID_202399303850_ORD_1760_MINVU_REGION_DE_COQUIMBO_SE_PRONUNCIA_SOBRE_PROYECTO_LINEA_DE_TRANSMISION_ELECTRICA_HVDC_KIMAL_-_LO_AGUIRRE.pdf
165,886,2023-99-53-165,Oficio pronunciamiento con observaciones al EIA,"SEREMI de Desarrollo Social y Familia, Región Metropolitana de Santiago",Servicio de Evaluación Ambiental Dirección Ejecutiva,19/12/2023 18:09:38,https://seia.sea.gob.cl/archivos/2023/12/20/5d4_ID_2023133031558_ORD_886_SEREMI_DESARROLLO_SOCIAL_Y_FAMILIA_R.M._SE_PRONUNCIA_SOBRE_PROYECTO_LINEA_DE_TRANSMISION_ELECTRICA_HVDC_KIMAL_-_LO_AGUIRRE__1_.pdf,2023-99-53-165|https://seia.sea.gob.cl/archivos/2023/12/20/5d4_ID_2023133031558_ORD_886_SEREMI_DESARROLLO_SOCIAL_Y_FAMILIA_R.M._SE_PRONUNCIA_SOBRE_PROYECTO_LINEA_DE_TRANSMISION_ELECTRICA_HVDC_KIMAL_-_LO_AGUIRRE__1_.pdf
166,136,2023-99-53-166,Visación de acta de terreno,"SEREMI de Energía, Región de Valparaíso",Servicio de Evaluación Ambiental Dirección Ejecutiva,19/12/2023 18:11:34,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160852691,2023-99-53-166|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160852691
167,204469,2023-99-53-167,Oficio no participación en la evaluación,"SEC, Región de Antofagasta",Servicio de Evaluación Ambiental Dirección Ejecutiva,19/12/2023 18:11:35,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160865387,2023-99-53-167|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160865387
168,20239900212,2023-99-53-168,Oficio Reitera Solicitud de Pronunciamiento,Servicio de Evaluación Ambiental Dirección Ejecutiva,81 destinatarios,19/12/2023 15:29:30,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160844369,2023-99-53-168|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160844369
169,1010,2023-99-53-169,Oficio pronunciamiento Municipalidad,Ilustre Municipalidad de Cabildo,3 destinatarios,20/12/2023 14:02:38,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160850265,2023-99-53-169|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160850265
170,1624/2023,2023-99-53-170,Oficio pronunciamiento con observaciones al EIA,Subsecretaría de Energía,Servicio de Evaluación Ambiental Dirección Ejecutiva,20/12/2023 17:28:52,https://seia.sea.gob.cl/archivos/2023/12/20/ID_202399303857_ORD_1624_MINISTERIO_DE_ENERGIA_SE_PRONUNCIA_SOBRE_PROYECTO_KIMAL_LO_AGUIRRE.pdf,2023-99-53-170|https://seia.sea.gob.cl/archivos/2023/12/20/ID_202399303857_ORD_1624_MINISTERIO_DE_ENERGIA_SE_PRONUNCIA_SOBRE_PROYECTO_KIMAL_LO_AGUIRRE.pdf
171,(D.AC.) ORD. SEIA. N° 513,2023-99-53-171,Oficio pronunciamiento con observaciones al EIA,Subsecretaría de Pesca y Acuicultura,8 destinatarios,20/12/2023 23:01:19,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160843721,2023-99-53-171|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160843721
172,679/2023,2023-99-53-172,Oficio pronunciamiento con observaciones al EIA,"Corporación Nacional Forestal, Dirección Ejecutiva",Servicio de Evaluación Ambiental Dirección Ejecutiva,21/12/2023 09:16:42,https://seia.sea.gob.cl/archivos/2023/12/21/ORD_complemento_679_conaf.pdf,2023-99-53-172|https://seia.sea.gob.cl/archivos/2023/12/21/ORD_complemento_679_conaf.pdf
173,1114,2023-99-53-173,Oficio no participación en la evaluación,"Dirección de Vialidad, Región de Coquimbo",Servicio de Evaluación Ambiental Dirección Ejecutiva,21/12/2023 09:30:49,https://seia.sea.gob.cl/archivos/2023/12/21/ID_202399303858_ORD_1114_VIALIDAD_de_COQUIMBO.pdf,2023-99-53-173|https://seia.sea.gob.cl/archivos/2023/12/21/ID_202399303858_ORD_1114_VIALIDAD_de_COQUIMBO.pdf
174,235548,2023-99-53-174,Oficio pronunciamiento con observaciones al EIA,Subsecretaría del Medio Ambiente,6 destinatarios,21/12/2023 10:30:17,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160828905,2023-99-53-174|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160828905
175,204469,2023-99-53-175,Oficio no participación en la evaluación,"SEC, Región de Antofagasta",Servicio de Evaluación Ambiental Dirección Ejecutiva,21/12/2023 12:22:33,https://seia.sea.gob.cl/archivos/2023/12/21/OF_204469_SEC_ANTOFAGASTA_SE_PRONUNCIA_SOBRE_PROYECTO_KIMAL_LO_AGUIRRE.pdf,2023-99-53-175|https://seia.sea.gob.cl/archivos/2023/12/21/OF_204469_SEC_ANTOFAGASTA_SE_PRONUNCIA_SOBRE_PROYECTO_KIMAL_LO_AGUIRRE.pdf
176,s/n,2023-99-53-176,Carta solicitud de PCPI,Servicio de Evaluación Ambiental Dirección Ejecutiva,Servicio de Evaluación Ambiental Dirección Ejecutiva,21/12/2023 12:50:43,https://seia.sea.gob.cl/archivos/2023/12/20/b13_Solicitud_C.I_Cachina_Las_Pintadas.pdf,2023-99-53-176|https://seia.sea.gob.cl/archivos/2023/12/20/b13_Solicitud_C.I_Cachina_Las_Pintadas.pdf
177,242,2023-99-53-177,Oficio no participación en la evaluación,"Dirección Regional de Aeropuertos, Region de Antofagasta",Servicio de Evaluación Ambiental Dirección Ejecutiva,21/12/2023 13:29:40,https://seia.sea.gob.cl/archivos/2023/12/21/ID_202399303862_ORD_242_DIRECCION_DE_AEROPUERTO_1.pdf,2023-99-53-177|https://seia.sea.gob.cl/archivos/2023/12/21/ID_202399303862_ORD_242_DIRECCION_DE_AEROPUERTO_1.pdf
178,126,2023-99-53-178,Oficio no participación en la evaluación,"Dirección Regional de Aeropuertos, Región de Coquimbo",Servicio de Evaluación Ambiental Dirección Ejecutiva,21/12/2023 13:34:56,https://seia.sea.gob.cl/archivos/2023/12/21/ID_202399303863_ORD_126_DIRECCION_DE_AEROPUERTO_1.pdf,2023-99-53-178|https://seia.sea.gob.cl/archivos/2023/12/21/ID_202399303863_ORD_126_DIRECCION_DE_AEROPUERTO_1.pdf
179,36842/2023 DTPR,2023-99-53-179,Oficio pronunciamiento con observaciones al EIA,"SEREMI de Transportes y Telecomunicaciones, Región de Valparaíso",Servicio de Evaluación Ambiental Dirección Ejecutiva,21/12/2023 14:11:24,https://seia.sea.gob.cl/archivos/2023/12/21/ORD._N_36842_SREMI_DE_TRANSPORTES_Y_TELECOMUNICACIONES__1_.pdf,2023-99-53-179|https://seia.sea.gob.cl/archivos/2023/12/21/ORD._N_36842_SREMI_DE_TRANSPORTES_Y_TELECOMUNICACIONES__1_.pdf
180,79/2023,2023-99-53-180,Visación de acta de terreno,"SEREMI de Energía, Región de Coquimbo",Servicio de Evaluación Ambiental Dirección Ejecutiva,21/12/2023 15:21:54,https://seia.sea.gob.cl/archivos/2023/12/21/ID_2023133031580_ORD_79_MIN_DE_ENERGIA.pdf,2023-99-53-180|https://seia.sea.gob.cl/archivos/2023/12/21/ID_2023133031580_ORD_79_MIN_DE_ENERGIA.pdf
181,366/048/2023,2023-99-53-181,Oficio pronunciamiento con observaciones al EIA,Ilustre Municipalidad de Til-Til,Servicio de Evaluación Ambiental Dirección Ejecutiva,21/12/2023 15:31:48,https://seia.sea.gob.cl/archivos/2023/12/21/ID_202399303865_ORD_366_MUNI_DE_TILTIL.pdf,2023-99-53-181|https://seia.sea.gob.cl/archivos/2023/12/21/ID_202399303865_ORD_366_MUNI_DE_TILTIL.pdf
182,001100,2023-99-53-182,Oficio no participación en la evaluación,"SEREMI de Vivienda y Urbanismo, Región de Atacama",Servicio de Evaluación Ambiental Dirección Ejecutiva,21/12/2023 15:51:15,https://seia.sea.gob.cl/archivos/2023/12/21/ORD_1100_SEREMI_DE_VIVIENDA_DE_ATACAMA.pdf,2023-99-53-182|https://seia.sea.gob.cl/archivos/2023/12/21/ORD_1100_SEREMI_DE_VIVIENDA_DE_ATACAMA.pdf
183,02350,2023-99-53-183,Visación de acta de terreno,Ilustre Municipalidad de Vallenar,Servicio de Evaluación Ambiental Dirección Ejecutiva,21/12/2023 15:57:00,https://seia.sea.gob.cl/archivos/2023/12/21/316_ORD_2350_MUNI_DE_VALLENAR.pdf,2023-99-53-183|https://seia.sea.gob.cl/archivos/2023/12/21/316_ORD_2350_MUNI_DE_VALLENAR.pdf
184,103,2023-99-53-184,Oficio no participación en la evaluación,Dirección Regional de Aeropuertos - RM,Servicio de Evaluación Ambiental Dirección Ejecutiva,21/12/2023 16:02:59,https://seia.sea.gob.cl/archivos/2023/12/22/ID_2023133031593_ORD_103_DIRECCION_DE_AEROPUERTOS_R.M..pdf,2023-99-53-184|https://seia.sea.gob.cl/archivos/2023/12/22/ID_2023133031593_ORD_103_DIRECCION_DE_AEROPUERTOS_R.M..pdf
185,1779,2023-99-53-185,Visación de acta de terreno,"SAG, Región Metropolitana de Santiago",Servicio de Evaluación Ambiental Dirección Ejecutiva,22/12/2023 09:58:14,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160838168,2023-99-53-185|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160838168
186,520,2023-99-53-186,Oficio no participación en la evaluación,Dirección Nacional de Aeropuertos,Servicio de Evaluación Ambiental Dirección Ejecutiva,22/12/2023 12:51:54,https://seia.sea.gob.cl/archivos/2023/12/22/OF.ELEC_520_21.12.23_SEA_Pronunciamiento_Reiterado_SEA_linea_Lo_Aguirre.pdf,2023-99-53-186|https://seia.sea.gob.cl/archivos/2023/12/22/OF.ELEC_520_21.12.23_SEA_Pronunciamiento_Reiterado_SEA_linea_Lo_Aguirre.pdf
187,755,2023-99-53-187,Visación de acta de terreno,"SEREMI del Medio Ambiente, Región de Valparaíso",Servicio de Evaluación Ambiental Dirección Ejecutiva,22/12/2023 13:44:42,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160912130,2023-99-53-187|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160912130
188,1355,2023-99-53-188,Oficio pronunciamiento con observaciones al EIA,Corporación Nacional de Desarrollo Indígena,Servicio de Evaluación Ambiental Dirección Ejecutiva,27/12/2023 08:36:50,https://seia.sea.gob.cl/archivos/2023/12/27/170362082137137ORD_N_1355_EIA_Linea_de_Transmision_Electrica_HVDC_Kimal_-_Lo_Aguirre_.pdf,2023-99-53-188|https://seia.sea.gob.cl/archivos/2023/12/27/170362082137137ORD_N_1355_EIA_Linea_de_Transmision_Electrica_HVDC_Kimal_-_Lo_Aguirre_.pdf
189,003398,2023-99-53-189,Visación de acta de reunión,"SEREMI de Bienes Nacionales, Región Metropolitana de Santiago",Servicio de Evaluación Ambiental Dirección Ejecutiva,27/12/2023 12:06:48,https://seia.sea.gob.cl/archivos/2023/12/27/ID_2023133031619_ORD_3398_MIN_DE_BIENES_NACIONALES.pdf,2023-99-53-189|https://seia.sea.gob.cl/archivos/2023/12/27/ID_2023133031619_ORD_3398_MIN_DE_BIENES_NACIONALES.pdf
190,01-557/14-18/2023,2023-99-53-190,Oficio pronunciamiento con observaciones al EIA,Ilustre Municipalidad de Lampa,Servicio de Evaluación Ambiental Dirección Ejecutiva,27/12/2023 16:55:29,https://seia.sea.gob.cl/archivos/2023/12/28/ID_2023133031630_ORD_01-557-14-18_MUNI_DE_LAMPA.pdf,2023-99-53-190|https://seia.sea.gob.cl/archivos/2023/12/28/ID_2023133031630_ORD_01-557-14-18_MUNI_DE_LAMPA.pdf
191,00629/2023,2023-99-53-191,Oficio pronunciamiento Municipalidad,Ilustre Municipalidad de Curacaví,Servicio de Evaluación Ambiental Dirección Ejecutiva,28/12/2023 09:31:42,https://seia.sea.gob.cl/archivos/2023/12/28/ID_2023133031634OF_629_MUINI_DE_CURACAVI.pdf,2023-99-53-191|https://seia.sea.gob.cl/archivos/2023/12/28/ID_2023133031634OF_629_MUINI_DE_CURACAVI.pdf
192,5558,2023-99-53-192,Oficio pronunciamiento con observaciones al EIA,Consejo de Monumentos Nacionales,Servicio de Evaluación Ambiental Dirección Ejecutiva,29/12/2023 12:46:27,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160959703,2023-99-53-192|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160959703
193,185,2023-99-53-193,Oficio no participación en la evaluación,"Servicio Nacional Turismo, Región de Coquimbo",Servicio de Evaluación Ambiental Dirección Ejecutiva,02/01/2024 10:56:48,https://seia.sea.gob.cl/archivos/2024/01/02/ID_202399303902_OF_185_SERNATUR_COQUIMBO.pdf,2023-99-53-193|https://seia.sea.gob.cl/archivos/2024/01/02/ID_202399303902_OF_185_SERNATUR_COQUIMBO.pdf
194,186,2023-99-53-194,Visación de acta de reunión,"Servicio Nacional Turismo, Región de Coquimbo",Servicio de Evaluación Ambiental Dirección Ejecutiva,02/01/2024 11:10:23,https://seia.sea.gob.cl/archivos/2024/01/02/202399303903_OF_186_SERNATUR_COQUIMBO.pdf,2023-99-53-194|https://seia.sea.gob.cl/archivos/2024/01/02/202399303903_OF_186_SERNATUR_COQUIMBO.pdf
195,124,2023-99-53-195,Oficio no participación en la evaluación,"SEREMI de Energía, Región de Antofagasta",Servicio de Evaluación Ambiental Dirección Ejecutiva,02/01/2024 14:32:40,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160751486,2023-99-53-195|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160751486
196,00002/2024,2023-99-53-196,Visación de acta de reunión,"Gobierno Regional, Región de Antofagasta",Servicio de Evaluación Ambiental Dirección Ejecutiva,02/01/2024 15:47:39,https://seia.sea.gob.cl/archivos/2024/01/02/ID_2024993036_ORD_00002_GORE_ANTOFAGASTA_RTE._VISA_ACTA_DE_REUNION_PROYECTO_LINEA_DE_TRANSMISION_ELECTRICA_HVDC_KIMAL_-_LO_AGUIRRE.pdf,2023-99-53-196|https://seia.sea.gob.cl/archivos/2024/01/02/ID_2024993036_ORD_00002_GORE_ANTOFAGASTA_RTE._VISA_ACTA_DE_REUNION_PROYECTO_LINEA_DE_TRANSMISION_ELECTRICA_HVDC_KIMAL_-_LO_AGUIRRE.pdf
197,001,2023-99-53-197,Oficio no participación en la evaluación,"SEREMI de Desarrollo Social y Familia, Región de Antofagasta",4 destinatarios,03/01/2024 17:58:51,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160972812,2023-99-53-197|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2160972812
198,953,2023-99-53-198,Oficio pronunciamiento Gobierno Regional,"Gobierno Regional, Región de Atacama",Servicio de Evaluación Ambiental Dirección Ejecutiva,04/01/2024 12:44:16,https://seia.sea.gob.cl/archivos/2024/01/04/49f_Ord._N_953_SEA.pdf,2023-99-53-198|https://seia.sea.gob.cl/archivos/2024/01/04/49f_Ord._N_953_SEA.pdf
199,958,2023-99-53-199,Oficio pronunciamiento Municipalidad,Ilustre Municipalidad de Calama,Servicio de Evaluación Ambiental Dirección Ejecutiva,04/01/2024 12:47:24,https://seia.sea.gob.cl/archivos/2024/01/04/96e_ORD._N__958_PROYECTO_KIMAL.pdf,2023-99-53-199|https://seia.sea.gob.cl/archivos/2024/01/04/96e_ORD._N__958_PROYECTO_KIMAL.pdf
200,20,2023-99-53-200,Oficio pronunciamiento Gobierno Regional,"Gobierno Regional, Región Metropolitana",Servicio de Evaluación Ambiental Dirección Ejecutiva,04/01/2024 16:02:21,https://seia.sea.gob.cl/archivos/2024/01/04/ed4_170431685927418Oficio_20_.pdf,2023-99-53-200|https://seia.sea.gob.cl/archivos/2024/01/04/ed4_170431685927418Oficio_20_.pdf
201,010,2023-99-53-201,Oficio pronunciamiento con observaciones al EIA,Subsecretaría de Agricultura,Servicio de Evaluación Ambiental Dirección Ejecutiva,05/01/2024 10:29:11,https://seia.sea.gob.cl/archivos/2024/01/05/ID_20249930322_ORD_10_MIN_DE_AGRICULTURA.pdf,2023-99-53-201|https://seia.sea.gob.cl/archivos/2024/01/05/ID_20249930322_ORD_10_MIN_DE_AGRICULTURA.pdf
202,1422,2023-99-53-202,Oficio no participación en la evaluación,"SEREMI de Salud, Región de Antofagasta",Servicio de Evaluación Ambiental Dirección Ejecutiva,05/01/2024 14:37:39,https://seia.sea.gob.cl/archivos/2024/01/05/eff_ID_20240230313_OF_1422_SEREMI_DE_SALUD_ANTOFAGASTA-1_rotated.pdf,2023-99-53-202|https://seia.sea.gob.cl/archivos/2024/01/05/eff_ID_20240230313_OF_1422_SEREMI_DE_SALUD_ANTOFAGASTA-1_rotated.pdf
203,34,2023-99-53-203,Visación de acta de reunión,"Dirección General de Aguas, Región de Valparaíso",4 destinatarios,11/01/2024 18:20:00,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2161041358,2023-99-53-203|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2161041358
204,23448,2023-99-53-204,Oficio pronunciamiento con observaciones al EIA,Ilustre Municipalidad de Copiapó,Servicio de Evaluación Ambiental Dirección Ejecutiva,12/01/2024 12:19:32,https://seia.sea.gob.cl/archivos/2024/01/12/7d7_ORD_23448_MUNI_COPIAPO_1.pdf,2023-99-53-204|https://seia.sea.gob.cl/archivos/2024/01/12/7d7_ORD_23448_MUNI_COPIAPO_1.pdf
205,1053,2023-99-53-205,Oficio pronunciamiento con observaciones al EIA,Ilustre Municipalidad de Diego de Almagro,Servicio de Evaluación Ambiental Dirección Ejecutiva,12/01/2024 12:32:27,https://seia.sea.gob.cl/archivos/2024/01/12/dd6_ORD_1053_2023.pdf,2023-99-53-205|https://seia.sea.gob.cl/archivos/2024/01/12/dd6_ORD_1053_2023.pdf
206,03/24,2023-99-53-206,Visación de acta de reunión,Dirección Nacional de Vialidad,Servicio de Evaluación Ambiental Dirección Ejecutiva,15/01/2024 10:26:58,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2161070898,2023-99-53-206|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2161070898
207,B32/48,2023-99-53-207,Oficio pronunciamiento con observaciones al EIA,"Subsecretaría de Salud Pública, Ministerio de Salud",Servicio de Evaluación Ambiental Dirección Ejecutiva,15/01/2024 10:27:04,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2161069379,2023-99-53-207|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2161069379
208,05/24,2023-99-53-208,Oficio pronunciamiento con observaciones al EIA,Dirección Nacional de Vialidad,Servicio de Evaluación Ambiental Dirección Ejecutiva,15/01/2024 10:28:08,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2161070911,2023-99-53-208|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2161070911
209,32/2024,2023-99-53-209,Oficio entrega informe adicional,"Corporación Nacional Forestal, Dirección Ejecutiva",Servicio de Evaluación Ambiental Dirección Ejecutiva,17/01/2024 15:05:24,https://seia.sea.gob.cl/archivos/2024/01/17/e66_OF_32_2024_CONAF.pdf,2023-99-53-209|https://seia.sea.gob.cl/archivos/2024/01/17/e66_OF_32_2024_CONAF.pdf
210,20249910251,2023-99-53-210,Solicitud de informe adicional,Servicio de Evaluación Ambiental Dirección Ejecutiva,19 destinatarios,17/01/2024 17:19:49,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2161101579,2023-99-53-210|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2161101579
211,20249910252,2023-99-53-211,Solicitud de informe adicional,Servicio de Evaluación Ambiental Dirección Ejecutiva,"Gobierno Regional, Región de Coquimbo",17/01/2024 17:20:21,https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2161102354,2023-99-53-211|https://seia.sea.gob.cl/documentos/documento.php?idDocumento=2161102354
